file,class,,cbo,loc,wmc
C:\oodass1\projects\rocketmq\test\src\test\java\org\apache\rocketmq\test\client\consumer\pop\BasePopNormally.java,org.apache.rocketmq.test.client.consumer.pop.BasePopNormally,,11,26,4
C:\oodass1\projects\rocketmq\broker\src\main\java\org\apache\rocketmq\broker\out\BrokerOuterAPI.java,org.apache.rocketmq.broker.out.BrokerOuterAPI$Anonymous5,,5,23,6
C:\oodass1\projects\rocketmq\broker\src\main\java\org\apache\rocketmq\broker\out\BrokerOuterAPI.java,org.apache.rocketmq.broker.out.BrokerOuterAPI$Anonymous4,,5,43,8
C:\oodass1\projects\rocketmq\broker\src\main\java\org\apache\rocketmq\broker\out\BrokerOuterAPI.java,org.apache.rocketmq.broker.out.BrokerOuterAPI$Anonymous3,,2,17,3
C:\oodass1\projects\rocketmq\broker\src\test\java\org\apache\rocketmq\broker\processor\PopReviveServiceTest.java,org.apache.rocketmq.broker.processor.PopReviveServiceTest,,28,326,20
C:\oodass1\projects\rocketmq\proxy\src\main\java\org\apache\rocketmq\proxy\grpc\v2\GrpcMessagingApplication.java,org.apache.rocketmq.proxy.grpc.v2.GrpcMessagingApplication$Anonymous1,,3,17,4
C:\oodass1\projects\rocketmq\broker\src\main\java\org\apache\rocketmq\broker\out\BrokerOuterAPI.java,org.apache.rocketmq.broker.out.BrokerOuterAPI$Anonymous2,,1,11,2
C:\oodass1\projects\rocketmq\client\src\main\java\org\apache\rocketmq\client\MQHelper.java,org.apache.rocketmq.client.MQHelper,,5,36,8
C:\oodass1\projects\rocketmq\example\src\main\java\org\apache\rocketmq\example\filter\SqlFilterProducer.java,org.apache.rocketmq.example.filter.SqlFilterProducer,,3,14,2
C:\oodass1\projects\rocketmq\remoting\src\test\java\org\apache\rocketmq\remoting\protocol\filter\FilterAPITest.java,org.apache.rocketmq.remoting.protocol.filter.FilterAPITest,,3,46,7
C:\oodass1\projects\rocketmq\test\src\main\java\org\apache\rocketmq\test\client\mq\MQAsyncProducer.java,org.apache.rocketmq.test.client.mq.MQAsyncProducer,,5,53,7
C:\oodass1\projects\rocketmq\controller\src\main\java\org\apache\rocketmq\controller\impl\event\EventType.java,org.apache.rocketmq.controller.impl.event.EventType,,1,30,10
C:\oodass1\projects\rocketmq\broker\src\main\java\org\apache\rocketmq\broker\out\BrokerOuterAPI.java,org.apache.rocketmq.broker.out.BrokerOuterAPI$Anonymous9,,5,17,4
C:\oodass1\projects\rocketmq\tieredstore\src\test\java\org\apache\rocketmq\tieredstore\file\FlatCommitLogFileTest.java,org.apache.rocketmq.tieredstore.file.FlatCommitLogFileTest,,14,70,9
C:\oodass1\projects\rocketmq\broker\src\main\java\org\apache\rocketmq\broker\out\BrokerOuterAPI.java,org.apache.rocketmq.broker.out.BrokerOuterAPI$Anonymous8,,1,11,2
C:\oodass1\projects\rocketmq\broker\src\main\java\org\apache\rocketmq\broker\out\BrokerOuterAPI.java,org.apache.rocketmq.broker.out.BrokerOuterAPI$Anonymous7,,4,17,4
C:\oodass1\projects\rocketmq\broker\src\main\java\org\apache\rocketmq\broker\out\BrokerOuterAPI.java,org.apache.rocketmq.broker.out.BrokerOuterAPI$Anonymous6,,3,21,6
C:\oodass1\projects\rocketmq\test\src\main\java\org\apache\rocketmq\test\util\StatUtil.java,org.apache.rocketmq.test.util.StatUtil,,5,401,103
C:\oodass1\projects\rocketmq\broker\src\test\java\org\apache\rocketmq\broker\filter\CommitLogDispatcherCalcBitMapTest.java,org.apache.rocketmq.broker.filter.CommitLogDispatcherCalcBitMapTest,,9,77,11
C:\oodass1\projects\rocketmq\broker\src\test\java\org\apache\rocketmq\broker\pagecache\OneMessageTransferTest.java,org.apache.rocketmq.broker.pagecache.OneMessageTransferTest,,4,22,3
C:\oodass1\projects\rocketmq\tools\src\test\java\org\apache\rocketmq\tools\command\namesrv\WipeWritePermSubCommandTest.java,org.apache.rocketmq.tools.command.namesrv.WipeWritePermSubCommandTest,,11,29,5
C:\oodass1\projects\rocketmq\remoting\src\test\java\org\apache\rocketmq\remoting\protocol\RemotingSerializableTest.java,org.apache.rocketmq.remoting.protocol.RemotingSerializableTest$1Foo,,1,9,2
C:\oodass1\projects\rocketmq\client\src\main\java\org\apache\rocketmq\client\hook\EndTransactionContext.java,org.apache.rocketmq.client.hook.EndTransactionContext,,2,51,14
C:\oodass1\projects\rocketmq\common\src\test\java\org\apache\rocketmq\common\message\MessageTest.java,org.apache.rocketmq.common.message.MessageTest,,2,27,6
C:\oodass1\projects\rocketmq\test\src\main\java\org\apache\rocketmq\test\listener\rmq\concurrent\RMQDelayListener.java,org.apache.rocketmq.test.listener.rmq.concurrent.RMQDelayListener,,8,24,6
C:\oodass1\projects\rocketmq\remoting\src\main\java\org\apache\rocketmq\remoting\protocol\body\CheckClientRequestBody.java,org.apache.rocketmq.remoting.protocol.body.CheckClientRequestBody,,2,30,8
C:\oodass1\projects\rocketmq\broker\src\main\java\org\apache\rocketmq\broker\filter\ConsumerFilterManager.java,org.apache.rocketmq.broker.filter.ConsumerFilterManager,,10,301,54
C:\oodass1\projects\rocketmq\controller\src\main\java\org\apache\rocketmq\controller\ControllerStartup.java,org.apache.rocketmq.controller.ControllerStartup,,13,99,14
C:\oodass1\projects\rocketmq\tools\src\main\java\org\apache\rocketmq\tools\command\message\ConsumeMessageCommand.java,org.apache.rocketmq.tools.command.message.ConsumeMessageCommand,,12,226,46
C:\oodass1\projects\rocketmq\broker\src\test\java\org\apache\rocketmq\broker\processor\RecallMessageProcessorTest.java,org.apache.rocketmq.broker.processor.RecallMessageProcessorTest,,25,136,13
C:\oodass1\projects\rocketmq\namesrv\src\test\java\org\apache\rocketmq\namesrv\routeinfo\RouteInfoManagerTest.java,org.apache.rocketmq.namesrv.routeinfo.RouteInfoManagerTest,,14,122,17
C:\oodass1\projects\rocketmq\store\src\main\java\org\apache\rocketmq\store\queue\DispatchEntry.java,org.apache.rocketmq.store.queue.DispatchEntry,,4,20,1
C:\oodass1\projects\rocketmq\broker\src\test\java\org\apache\rocketmq\broker\processor\PopBufferMergeServiceTest.java,org.apache.rocketmq.broker.processor.PopBufferMergeServiceTest,,25,61,2
C:\oodass1\projects\rocketmq\client\src\test\java\org\apache\rocketmq\client\trace\DefaultMQProducerWithOpenTracingTest.java,org.apache.rocketmq.client.trace.DefaultMQProducerWithOpenTracingTest,,29,77,5
C:\oodass1\projects\rocketmq\proxy\src\main\java\org\apache\rocketmq\proxy\processor\PopMessageResultFilter.java,org.apache.rocketmq.proxy.processor.PopMessageResultFilter$FilterResult,,0,1,0
C:\oodass1\projects\rocketmq\remoting\src\main\java\org\apache\rocketmq\remoting\protocol\header\QueryMessageRequestHeader.java,org.apache.rocketmq.remoting.protocol.header.QueryMessageRequestHeader,,4,39,11
C:\oodass1\projects\rocketmq\controller\src\main\java\org\apache\rocketmq\controller\impl\closure\ControllerClosure.java,org.apache.rocketmq.controller.impl.closure.ControllerClosure,,7,46,10
C:\oodass1\projects\rocketmq\filter\src\main\java\org\apache\rocketmq\filter\expression\ComparisonExpression.java,org.apache.rocketmq.filter.expression.ComparisonExpression$StartsWithExpression,,5,27,11
C:\oodass1\projects\rocketmq\example\src\main\java\org\apache\rocketmq\example\simple\PullScheduleService.java,org.apache.rocketmq.example.simple.PullScheduleService$Anonymous1,,4,27,7
C:\oodass1\projects\rocketmq\common\src\main\java\org\apache\rocketmq\common\compression\ZstdCompressor.java,org.apache.rocketmq.common.compression.ZstdCompressor,,5,58,8
C:\oodass1\projects\rocketmq\remoting\src\main\java\org\apache\rocketmq\remoting\exception\RemotingTooMuchRequestException.java,org.apache.rocketmq.remoting.exception.RemotingTooMuchRequestException,,1,6,1
C:\oodass1\projects\rocketmq\client\src\main\java\org\apache\rocketmq\client\consumer\PopResult.java,org.apache.rocketmq.client.consumer.PopResult,,2,44,13
C:\oodass1\projects\rocketmq\remoting\src\main\java\org\apache\rocketmq\remoting\protocol\body\BrokerStatsItem.java,org.apache.rocketmq.remoting.protocol.body.BrokerStatsItem,,0,23,6
C:\oodass1\projects\rocketmq\proxy\src\main\java\org\apache\rocketmq\proxy\service\client\ProxyClientRemotingProcessor.java,org.apache.rocketmq.proxy.service.client.ProxyClientRemotingProcessor,,9,34,7
C:\oodass1\projects\rocketmq\remoting\src\main\java\org\apache\rocketmq\remoting\protocol\header\namesrv\GetKVConfigResponseHeader.java,org.apache.rocketmq.remoting.protocol.header.namesrv.GetKVConfigResponseHeader,,2,11,3
C:\oodass1\projects\rocketmq\controller\src\main\java\org\apache\rocketmq\controller\impl\event\UpdateBrokerAddressEvent.java,org.apache.rocketmq.controller.impl.event.UpdateBrokerAddressEvent,,2,30,7
C:\oodass1\projects\rocketmq\store\src\test\java\org\apache\rocketmq\store\ha\autoswitch\AutoSwitchHATest.java,org.apache.rocketmq.store.ha.autoswitch.AutoSwitchHATest,,16,355,28
C:\oodass1\projects\rocketmq\remoting\src\main\java\org\apache\rocketmq\remoting\protocol\header\ResetOffsetRequestHeader.java,org.apache.rocketmq.remoting.protocol.header.ResetOffsetRequestHeader,,4,46,13
C:\oodass1\projects\rocketmq\test\src\test\java\org\apache\rocketmq\test\container\SyncConsumerOffsetIT.java,org.apache.rocketmq.test.container.SyncConsumerOffsetIT,,17,77,13
C:\oodass1\projects\rocketmq\remoting\src\main\java\org\apache\rocketmq\remoting\protocol\body\KVTable.java,org.apache.rocketmq.remoting.protocol.body.KVTable,,1,9,2
C:\oodass1\projects\rocketmq\remoting\src\main\java\org\apache\rocketmq\remoting\protocol\header\CheckRocksdbCqWriteProgressRequestHeader.java,org.apache.rocketmq.remoting.protocol.header.CheckRocksdbCqWriteProgressRequestHeader,,4,18,5
C:\oodass1\projects\rocketmq\tools\src\main\java\org\apache\rocketmq\tools\command\SubCommand.java,org.apache.rocketmq.tools.command.SubCommand,,3,9,5
C:\oodass1\projects\rocketmq\common\src\main\java\org\apache\rocketmq\common\ObjectCreator.java,org.apache.rocketmq.common.ObjectCreator,,1,3,1
C:\oodass1\projects\rocketmq\remoting\src\test\java\org\apache\rocketmq\remoting\protocol\RemotingCommandTest.java,org.apache.rocketmq.remoting.protocol.SubExtFieldsHeader,,2,30,12
C:\oodass1\projects\rocketmq\common\src\main\java\org\apache\rocketmq\common\statistics\StatisticsItemPrinter.java,org.apache.rocketmq.common.statistics.StatisticsItemPrinter,,3,23,6
C:\oodass1\projects\rocketmq\example\src\main\java\org\apache\rocketmq\example\simple\PullConsumer.java,org.apache.rocketmq.example.simple.PullConsumer$Anonymous1,,4,77,23
C:\oodass1\projects\rocketmq\tools\src\main\java\org\apache\rocketmq\tools\command\message\QueryMsgTraceByIdSubCommand.java,org.apache.rocketmq.tools.command.message.QueryMsgTraceByIdSubCommand,,11,103,20
C:\oodass1\projects\rocketmq\proxy\src\main\java\org\apache\rocketmq\proxy\processor\TransactionStatus.java,org.apache.rocketmq.proxy.processor.TransactionStatus,,0,1,0
C:\oodass1\projects\rocketmq\remoting\src\main\java\org\apache\rocketmq\remoting\protocol\header\GetConsumeStatsInBrokerHeader.java,org.apache.rocketmq.remoting.protocol.header.GetConsumeStatsInBrokerHeader,,3,11,3
C:\oodass1\projects\rocketmq\auth\src\main\java\org\apache\rocketmq\auth\authentication\factory\AuthenticationFactory.java,org.apache.rocketmq.auth.authentication.factory.AuthenticationFactory,,17,102,26
C:\oodass1\projects\rocketmq\common\src\main\java\org\apache\rocketmq\common\BoundaryType.java,org.apache.rocketmq.common.BoundaryType,,1,16,4
C:\oodass1\projects\rocketmq\remoting\src\main\java\org\apache\rocketmq\remoting\rpc\RpcResponse.java,org.apache.rocketmq.remoting.rpc.RpcResponse,,2,38,10
C:\oodass1\projects\rocketmq\store\src\main\java\org\apache\rocketmq\store\StoreCheckpoint.java,org.apache.rocketmq.store.StoreCheckpoint,,2,99,19
C:\oodass1\projects\rocketmq\auth\src\main\java\org\apache\rocketmq\auth\authentication\enums\SubjectType.java,org.apache.rocketmq.auth.authentication.enums.SubjectType,,2,21,6
C:\oodass1\projects\rocketmq\common\src\main\java\org\apache\rocketmq\common\utils\FutureUtils.java,org.apache.rocketmq.common.utils.FutureUtils,,2,22,4
C:\oodass1\projects\rocketmq\broker\src\test\java\org\apache\rocketmq\broker\offset\BroadcastOffsetManagerTest.java,org.apache.rocketmq.broker.offset.BroadcastOffsetManagerTest,,11,95,5
C:\oodass1\projects\rocketmq\store\src\main\java\org\apache\rocketmq\store\queue\QueueOffsetOperator.java,org.apache.rocketmq.store.queue.QueueOffsetOperator,,3,76,20
C:\oodass1\projects\rocketmq\remoting\src\main\java\org\apache\rocketmq\remoting\netty\NettyRemotingServer.java,org.apache.rocketmq.remoting.netty.NettyRemotingServer$HAProxyMessageHandler,,6,36,8
C:\oodass1\projects\rocketmq\proxy\src\main\java\org\apache\rocketmq\proxy\grpc\constant\AttributeKeys.java,org.apache.rocketmq.proxy.grpc.constant.AttributeKeys,,1,11,1
C:\oodass1\projects\rocketmq\openmessaging\src\main\java\io\openmessaging\rocketmq\utils\OMSUtil.java,io.openmessaging.rocketmq.utils.OMSUtil$Anonymous1$Anonymous2,,1,10,3
C:\oodass1\projects\rocketmq\proxy\src\test\java\org\apache\rocketmq\proxy\service\metadata\ClusterMetadataServiceTest.java,org.apache.rocketmq.proxy.service.metadata.ClusterMetadataServiceTest,,12,49,6
C:\oodass1\projects\rocketmq\tools\src\main\java\org\apache\rocketmq\tools\command\broker\GetBrokerConfigCommand.java,org.apache.rocketmq.tools.command.broker.GetBrokerConfigCommand,,10,66,15
C:\oodass1\projects\rocketmq\test\src\test\java\org\apache\rocketmq\test\delay\NormalMsgDelayIT.java,org.apache.rocketmq.test.delay.NormalMsgDelayIT,,15,53,6
C:\oodass1\projects\rocketmq\controller\src\main\java\org\apache\rocketmq\controller\impl\manager\RaftReplicasInfoManager.java,org.apache.rocketmq.controller.impl.manager.RaftReplicasInfoManager,,16,172,26
C:\oodass1\projects\rocketmq\common\src\test\java\org\apache\rocketmq\common\ConfigManagerTest.java,org.apache.rocketmq.common.ConfigManagerTest$Anonymous1,,1,13,4
C:\oodass1\projects\rocketmq\proxy\src\main\java\org\apache\rocketmq\proxy\remoting\RemotingProtocolServer.java,org.apache.rocketmq.proxy.remoting.RemotingProtocolServer$ThreadPoolHeadSlowTimeMillsMonitor,,2,15,5
C:\oodass1\projects\rocketmq\common\src\main\java\org\apache\rocketmq\common\producer\RecallMessageHandle.java,org.apache.rocketmq.common.producer.RecallMessageHandle$HandleV1,,1,33,7
C:\oodass1\projects\rocketmq\remoting\src\test\java\org\apache\rocketmq\remoting\protocol\RemotingSerializableTest.java,org.apache.rocketmq.remoting.protocol.RemotingSerializableTest,,8,64,6
C:\oodass1\projects\rocketmq\example\src\main\java\org\apache\rocketmq\example\schedule\ScheduledMessageConsumer.java,org.apache.rocketmq.example.schedule.ScheduledMessageConsumer,,2,17,2
C:\oodass1\projects\rocketmq\broker\src\main\java\org\apache\rocketmq\broker\processor\PopMessageProcessor.java,org.apache.rocketmq.broker.processor.PopMessageProcessor,,49,741,137
C:\oodass1\projects\rocketmq\common\src\test\java\org\apache\rocketmq\common\compression\CompressionTest.java,org.apache.rocketmq.common.compression.CompressionTest,,6,58,8
C:\oodass1\projects\rocketmq\proxy\src\main\java\org\apache\rocketmq\proxy\grpc\interceptor\ContextInterceptor.java,org.apache.rocketmq.proxy.grpc.interceptor.ContextInterceptor,,6,6,1
C:\oodass1\projects\rocketmq\namesrv\src\test\java\org\apache\rocketmq\namesrv\routeinfo\RouteInfoManagerTestBase.java,org.apache.rocketmq.namesrv.routeinfo.RouteInfoManagerTestBase,,11,91,17
C:\oodass1\projects\rocketmq\client\src\test\java\org\apache\rocketmq\client\producer\DefaultMQProducerTest.java,org.apache.rocketmq.client.producer.DefaultMQProducerTest,,43,756,65
C:\oodass1\projects\rocketmq\store\src\main\java\org\apache\rocketmq\store\pop\AckMsg.java,org.apache.rocketmq.store.pop.AckMsg,,1,63,15
C:\oodass1\projects\rocketmq\tieredstore\src\test\java\org\apache\rocketmq\tieredstore\provider\FileSegmentTest.java,org.apache.rocketmq.tieredstore.provider.FileSegmentTest,,19,307,15
C:\oodass1\projects\rocketmq\example\src\main\java\org\apache\rocketmq\example\lmq\LMQProducer.java,org.apache.rocketmq.example.lmq.LMQProducer,,3,26,3
C:\oodass1\projects\rocketmq\proxy\src\main\java\org\apache\rocketmq\proxy\remoting\activity\SendMessageActivity.java,org.apache.rocketmq.proxy.remoting.activity.SendMessageActivity,,14,50,16
C:\oodass1\projects\rocketmq\client\src\test\java\org\apache\rocketmq\client\trace\DefaultMQLitePullConsumerWithTraceTest.java,org.apache.rocketmq.client.trace.DefaultMQLitePullConsumerWithTraceTest,,41,194,15
C:\oodass1\projects\rocketmq\controller\src\main\java\org\apache\rocketmq\controller\impl\manager\RaftReplicasInfoManager.java,org.apache.rocketmq.controller.impl.manager.RaftReplicasInfoManager$Anonymous1,,1,5,1
C:\oodass1\projects\rocketmq\proxy\src\test\java\org\apache\rocketmq\proxy\service\sysmessage\HeartbeatSyncerTest.java,org.apache.rocketmq.proxy.service.sysmessage.HeartbeatSyncerTest,,37,195,13
C:\oodass1\projects\rocketmq\tools\src\main\java\org\apache\rocketmq\tools\command\broker\CommitLogSetReadAheadSubCommand.java,org.apache.rocketmq.tools.command.broker.CommitLogSetReadAheadSubCommand,,10,59,12
C:\oodass1\projects\rocketmq\client\src\main\java\org\apache\rocketmq\client\impl\consumer\DefaultMQPushConsumerImpl.java,org.apache.rocketmq.client.impl.consumer.DefaultMQPushConsumerImpl$Anonymous1$Anonymous2,,4,14,2
C:\oodass1\projects\rocketmq\store\src\test\java\org\apache\rocketmq\store\timer\TimerMessageStoreTest.java,org.apache.rocketmq.store.timer.TimerMessageStoreTest,,28,450,56
C:\oodass1\projects\rocketmq\proxy\src\test\java\org\apache\rocketmq\proxy\config\InitConfigTest.java,org.apache.rocketmq.proxy.config.InitConfigTest,,3,17,4
C:\oodass1\projects\rocketmq\controller\src\main\java\org\apache\rocketmq\controller\metrics\ControllerMetricsConstant.java,org.apache.rocketmq.controller.metrics.ControllerMetricsConstant$RequestHandleStatus,,0,4,1
C:\oodass1\projects\rocketmq\auth\src\main\java\org\apache\rocketmq\auth\authentication\builder\DefaultAuthenticationContextBuilder.java,org.apache.rocketmq.auth.authentication.builder.DefaultAuthenticationContextBuilder,,11,81,19
C:\oodass1\projects\rocketmq\auth\src\main\java\org\apache\rocketmq\auth\migration\v1\PlainAccessData.java,org.apache.rocketmq.auth.migration.v1.PlainAccessData,,3,59,11
C:\oodass1\projects\rocketmq\tools\src\main\java\org\apache\rocketmq\tools\command\consumer\ConsumerProgressSubCommand.java,org.apache.rocketmq.tools.command.consumer.ConsumerProgressSubCommand,,16,157,30
C:\oodass1\projects\rocketmq\client\src\test\java\org\apache\rocketmq\client\impl\MQClientAPIImplTest.java,org.apache.rocketmq.client.impl.MQClientAPIImplTest$Anonymous10,,3,11,3
C:\oodass1\projects\rocketmq\proxy\src\main\java\org\apache\rocketmq\proxy\processor\QueueSelector.java,org.apache.rocketmq.proxy.processor.QueueSelector,,3,3,1
C:\oodass1\projects\rocketmq\remoting\src\main\java\org\apache\rocketmq\remoting\protocol\header\GetAclRequestHeader.java,org.apache.rocketmq.remoting.protocol.header.GetAclRequestHeader,,2,16,5
C:\oodass1\projects\rocketmq\remoting\src\main\java\org\apache\rocketmq\remoting\protocol\header\UpdateGroupForbiddenRequestHeader.java,org.apache.rocketmq.remoting.protocol.header.UpdateGroupForbiddenRequestHeader,,4,25,7
C:\oodass1\projects\rocketmq\common\src\test\java\org\apache\rocketmq\common\attribute\AttributeUtilTest.java,org.apache.rocketmq.common.attribute.AttributeUtilTest$TestAttribute,,2,10,2
C:\oodass1\projects\rocketmq\client\src\main\java\org\apache\rocketmq\client\producer\selector\SelectMessageQueueByHash.java,org.apache.rocketmq.client.producer.selector.SelectMessageQueueByHash,,3,9,2
C:\oodass1\projects\rocketmq\test\src\test\java\org\apache\rocketmq\test\client\producer\order\OrderMsgWithTagIT.java,org.apache.rocketmq.test.client.producer.order.OrderMsgWithTagIT,,15,80,7
C:\oodass1\projects\rocketmq\tools\src\main\java\org\apache\rocketmq\tools\command\auth\CopyAclsSubCommand.java,org.apache.rocketmq.tools.command.auth.CopyAclsSubCommand,,9,64,13
C:\oodass1\projects\rocketmq\broker\src\test\java\org\apache\rocketmq\broker\processor\AdminBrokerProcessorTest.java,org.apache.rocketmq.broker.processor.AdminBrokerProcessorTest,,96,1121,120
C:\oodass1\projects\rocketmq\broker\src\main\java\org\apache\rocketmq\broker\pop\PopConsumerCache.java,org.apache.rocketmq.broker.pop.PopConsumerCache$ConsumerRecords,,2,61,18
C:\oodass1\projects\rocketmq\client\src\main\java\org\apache\rocketmq\client\trace\AsyncTraceDispatcher.java,org.apache.rocketmq.client.trace.AsyncTraceDispatcher,,16,316,39
C:\oodass1\projects\rocketmq\common\src\main\java\org\apache\rocketmq\common\CountDownLatch2.java,org.apache.rocketmq.common.CountDownLatch2,,1,50,8
C:\oodass1\projects\rocketmq\broker\src\main\java\org\apache\rocketmq\broker\processor\DefaultPullMessageResultHandler.java,org.apache.rocketmq.broker.processor.DefaultPullMessageResultHandler,,29,161,28
C:\oodass1\projects\rocketmq\tools\src\main\java\org\apache\rocketmq\tools\monitor\DefaultMonitorListener.java,org.apache.rocketmq.tools.monitor.DefaultMonitorListener,,7,40,10
C:\oodass1\projects\rocketmq\common\src\main\java\org\apache\rocketmq\common\namesrv\DefaultTopAddressing.java,org.apache.rocketmq.common.namesrv.DefaultTopAddressing,,9,113,28
C:\oodass1\projects\rocketmq\client\src\main\java\org\apache\rocketmq\client\consumer\DefaultMQPullConsumer.java,org.apache.rocketmq.client.consumer.DefaultMQPullConsumer,,20,240,69
C:\oodass1\projects\rocketmq\client\src\main\java\org\apache\rocketmq\client\latency\Resolver.java,org.apache.rocketmq.client.latency.Resolver,,0,3,1
C:\oodass1\projects\rocketmq\remoting\src\main\java\org\apache\rocketmq\remoting\protocol\header\ListUsersRequestHeader.java,org.apache.rocketmq.remoting.protocol.header.ListUsersRequestHeader,,2,16,5
C:\oodass1\projects\rocketmq\remoting\src\main\java\org\apache\rocketmq\remoting\protocol\RemotingSysResponseCode.java,org.apache.rocketmq.remoting.protocol.RemotingSysResponseCode,,0,7,0
C:\oodass1\projects\rocketmq\example\src\main\java\org\apache\rocketmq\example\lmq\LMQPushPopConsumer.java,org.apache.rocketmq.example.lmq.LMQPushPopConsumer,,6,52,4
C:\oodass1\projects\rocketmq\common\src\main\java\org\apache\rocketmq\common\resource\ResourceType.java,org.apache.rocketmq.common.resource.ResourceType,,2,21,6
C:\oodass1\projects\rocketmq\test\src\test\java\org\apache\rocketmq\test\client\producer\transaction\TransactionalMsgIT.java,org.apache.rocketmq.test.client.producer.transaction.TransactionalMsgIT$TransactionListenerImpl,,5,22,4
C:\oodass1\projects\rocketmq\remoting\src\test\java\org\apache\rocketmq\remoting\rpc\RpcClientImplTest.java,org.apache.rocketmq.remoting.rpc.RpcClientImplTest,,25,128,10
C:\oodass1\projects\rocketmq\proxy\src\main\java\org\apache\rocketmq\proxy\common\RenewEvent.java,org.apache.rocketmq.proxy.common.RenewEvent,,4,30,6
C:\oodass1\projects\rocketmq\store\src\main\java\org\apache\rocketmq\store\config\FlushDiskType.java,org.apache.rocketmq.store.config.FlushDiskType,,0,1,0
C:\oodass1\projects\rocketmq\controller\src\main\java\org\apache\rocketmq\controller\helper\BrokerLiveInfoGetter.java,org.apache.rocketmq.controller.helper.BrokerLiveInfoGetter,,1,3,1
C:\oodass1\projects\rocketmq\remoting\src\test\java\org\apache\rocketmq\remoting\protocol\route\TopicRouteDataTest.java,org.apache.rocketmq.remoting.protocol.route.TopicRouteDataTest,,5,55,2
C:\oodass1\projects\rocketmq\store\src\main\java\org\apache\rocketmq\store\PutMessageStatus.java,org.apache.rocketmq.store.PutMessageStatus,,0,1,0
C:\oodass1\projects\rocketmq\proxy\src\main\java\org\apache\rocketmq\proxy\common\RenewStrategyPolicy.java,org.apache.rocketmq.proxy.common.RenewStrategyPolicy,,2,27,8
C:\oodass1\projects\rocketmq\tieredstore\src\main\java\org\apache\rocketmq\tieredstore\index\IndexStoreService.java,org.apache.rocketmq.tieredstore.index.IndexStoreService,,16,325,71
C:\oodass1\projects\rocketmq\controller\src\test\java\org\apache\rocketmq\controller\impl\manager\ReplicasInfoManagerTest.java,org.apache.rocketmq.controller.impl.manager.ReplicasInfoManagerTest,,28,329,36
C:\oodass1\projects\rocketmq\client\src\main\java\org\apache\rocketmq\client\latency\MQFaultStrategy.java,org.apache.rocketmq.client.latency.MQFaultStrategy$Anonymous1,,1,5,1
C:\oodass1\projects\rocketmq\client\src\main\java\org\apache\rocketmq\client\latency\MQFaultStrategy.java,org.apache.rocketmq.client.latency.MQFaultStrategy$Anonymous2,,2,5,1
C:\oodass1\projects\rocketmq\remoting\src\test\java\org\apache\rocketmq\remoting\protocol\NamespaceUtilTest.java,org.apache.rocketmq.remoting.protocol.NamespaceUtilTest,,2,55,3
C:\oodass1\projects\rocketmq\broker\src\test\java\org\apache\rocketmq\broker\util\HookUtilsTest.java,org.apache.rocketmq.broker.util.HookUtilsTest,,7,25,1
